Designator,Mid X,Mid Y,Layer,Rotation
C1,70.000000,-115.000000,Top,0.000000
C2,73.000000,-115.000000,Top,0.000000
C3,76.000000,-115.000000,Top,0.000000
C4,79.000000,-115.000000,Top,0.000000
C5,82.000000,-115.000000,Top,0.000000
C6,70.000000,-129.000000,Top,0.000000
C7,73.000000,-129.000000,Top,0.000000
C9,76.000000,-129.000000,Top,0.000000
C10,79.000000,-129.000000,Top,0.000000
C11,82.500000,-129.000000,Top,0.000000
C12,64.000000,-119.000000,Top,0.000000
C13,64.000000,-125.000000,Top,0.000000
C14,67.000000,-126.000000,Top,0.000000
C15,88.000000,-126.000000,Top,0.000000
C_IN,124.000000,-128.000000,Top,0.000000
C_LED,59.000000,-111.000000,Top,0.000000
C_OUT,133.000000,-129.000000,Top,0.000000
D1,59.000000,-106.000000,Top,0.000000
J1,100.000000,-129.425044,Top,0.000000
R_BOOT,85.000000,-126.000000,Top,0.000000
R_CC1,98.750000,-129.000000,Top,0.000000
R_CC2,101.750000,-129.000000,Top,0.000000
R_RUN,67.000000,-118.000000,Top,0.000000
U1,76.000000,-122.000000,Top,-90.000000
U2,88.000000,-122.000000,Top,0.000000
U3,128.000000,-129.000000,Top,0.000000
Y1,64.000000,-122.000000,Top,0.000000
